  AntarDasha: Saturn - (2000-03-22 05:45:20.55) to (2003-01-27 04:17:08.55) (1040 days) Age[(11year 3month 18days)] iid=71, open=False
	ParyantarDasha: Saturn - (2000-03-22 05:45:20.55) to (2000-09-03 01:19:22.65) (164 days) Age[(8year 10month 25days)] iid=72, open=False
	ParyantarDasha: Mercury - (2000-09-03 01:19:22.65) to (2001-01-28 12:30:52.95) (147 days) Age[(9year 3month 19days)] iid=73, open=False
	ParyantarDasha: Ketu - (2001-01-28 12:30:52.95) to (2001-03-30 05:49:44.25) (60 days) Age[(9year 5month 21days)] iid=74, open=False
	ParyantarDasha: Venus - (2001-03-30 05:49:44.25) to (2001-09-19 17:35:02.25) (173 days) Age[(9year 11month 11days)] iid=75, open=False
	ParyantarDasha: Sun - (2001-09-19 17:35:02.25) to (2001-11-10 18:42:37.65) (52 days) Age[(10year 1month 2days)] iid=76, open=False
	ParyantarDasha: Moon - (2001-11-10 18:42:37.65) to (2002-02-05 12:35:16.65) (86 days) Age[(10year 3month 27days)] iid=77, open=False
	ParyantarDasha: Mars - (2002-02-05 12:35:16.65) to (2002-04-07 05:54:07.95) (60 days) Age[(10year 5month 29days)] iid=78, open=False
	ParyantarDasha: Rahu - (2002-04-07 05:54:07.95) to (2002-09-10 09:16:54.15) (156 days) Age[(10year 11month 1days)] iid=79, open=False
	ParyantarDasha: Jupiter - (2002-09-10 09:16:54.15) to (2003-01-27 04:17:08.55) (138 days) Age[(11year 3month 18days)] iid=80, open=False
  AntarDasha: Mercury - (2003-01-27 04:17:08.55) to (2005-08-15 13:04:32.55) (931 days) Age[(13year 10month 6days)] iid=81, open=False
	ParyantarDasha: Mercury - (2003-01-27 04:17:08.55) to (2003-06-08 02:55:51.45) (131 days) Age[(11year 7month 30days)] iid=82, open=False
	ParyantarDasha: Ketu - (2003-06-08 02:55:51.45) to (2003-08-01 10:50:37.35) (54 days) Age[(11year 9month 23days)] iid=83, open=False
	ParyantarDasha: Venus - (2003-08-01 10:50:37.35) to (2004-01-03 16:18:31.35) (155 days) Age[(12year 2month 26days)] iid=84, open=False
	ParyantarDasha: Sun - (2004-01-03 16:18:31.35) to (2004-02-19 05:56:53.55) (46 days) Age[(12year 4month 10days)] iid=85, open=False
	ParyantarDasha: Moon - (2004-02-19 05:56:53.55) to (2004-05-06 20:40:50.55) (77 days) Age[(12year 6month 28days)] iid=86, open=False
	ParyantarDasha: Mars - (2004-05-06 20:40:50.55) to (2004-06-30 04:35:36.45) (54 days) Age[(12year 8month 21days)] iid=87, open=False
	ParyantarDasha: Rahu - (2004-06-30 04:35:36.45) to (2004-11-16 21:30:43.05) (139 days) Age[(13year 1month 8days)] iid=88, open=False
	ParyantarDasha: Jupiter - (2004-11-16 21:30:43.05) to (2005-03-21 01:53:02.25) (124 days) Age[(13year 5month 12days)] iid=89, open=False
	ParyantarDasha: Saturn - (2005-03-21 01:53:02.25) to (2005-08-15 13:04:32.55) (147 days) Age[(13year 10month 6days)] iid=90, open=False
  AntarDasha: Ketu - (2005-08-15 13:04:32.55) to (2006-09-03 01:09:56.55) (383 days) Age[(14year 10month 25days)] iid=91, open=False
	ParyantarDasha: Ketu - (2005-08-15 13:04:32.55) to (2005-09-06 21:58:51.45) (22 days) Age[(13year 10month 29days)] iid=92, open=False
	ParyantarDasha: Venus - (2005-09-06 21:58:51.45) to (2005-11-09 19:59:45.45) (63 days) Age[(14year 1month 1days)] iid=93, open=False
	ParyantarDasha: Sun - (2005-11-09 19:59:45.45) to (2005-11-29 00:12:01.65) (19 days) Age[(14year 1month 20days)] iid=94, open=False
	ParyantarDasha: Moon - (2005-11-29 00:12:01.65) to (2005-12-30 23:12:28.65) (31 days) Age[(14year 2month 22days)] iid=95, open=False
	ParyantarDasha: Mars - (2005-12-30 23:12:28.65) to (2006-01-22 08:06:47.55) (22 days) Age[(14year 3month 13days)] iid=96, open=False
	ParyantarDasha: Rahu - (2006-01-22 08:06:47.55) to (2006-03-20 20:43:36.15) (57 days) Age[(14year 5month 12days)] iid=97, open=False
	ParyantarDasha: Jupiter - (2006-03-20 20:43:36.15) to (2006-05-10 23:56:19.35) (51 days) Age[(14year 7month 2days)] iid=98, open=False
	ParyantarDasha: Saturn - (2006-05-10 23:56:19.35) to (2006-07-10 17:15:10.65) (60 days) Age[(14year 9month 2days)] iid=99, open=False
	ParyantarDasha: Mercury - (2006-07-10 17:15:10.65) to (2006-09-03 01:09:56.55) (54 days) Age[(14year 10month 25days)] iid=100, open=False
  AntarDasha: Venus - (2006-09-03 01:09:56.55) to (2009-09-02 18:33:56.55) (1095 days) Age[(17year 10month 25days)] iid=101, open=False
	ParyantarDasha: Venus - (2006-09-03 01:09:56.55) to (2007-03-04 16:03:56.55) (182 days) Age[(15year 4month 24days)] iid=102, open=False
	ParyantarDasha: Sun - (2007-03-04 16:03:56.55) to (2007-04-28 10:56:08.55) (54 days) Age[(15year 6month 19days)] iid=103, open=False
	ParyantarDasha: Moon - (2007-04-28 10:56:08.55) to (2007-07-28 18:23:08.55) (91 days) Age[(15year 9month 20days)] iid=104, open=False
	ParyantarDasha: Mars - (2007-07-28 18:23:08.55) to (2007-09-30 16:24:02.55) (63 days) Age[(15year 11month 22days)] iid=105, open=False
	ParyantarDasha: Rahu - (2007-09-30 16:24:02.55) to (2008-03-13 01:00:38.55) (164 days) Age[(16year 5month 4days)] iid=106, open=False
	ParyantarDasha: Jupiter - (2008-03-13 01:00:38.55) to (2008-08-06 03:19:50.55) (146 days) Age[(16year 9month 28days)] iid=107, open=False
	ParyantarDasha: Saturn - (2008-08-06 03:19:50.55) to (2009-01-26 15:05:08.55) (173 days) Age[(17year 3month 18days)] iid=108, open=False
	ParyantarDasha: Mercury - (2009-01-26 15:05:08.55) to (2009-06-30 20:33:02.55) (155 days) Age[(17year 8month 22days)] iid=109, open=False
	ParyantarDasha: Ketu - (2009-06-30 20:33:02.55) to (2009-09-02 18:33:56.55) (63 days) Age[(17year 10month 25days)] iid=110, open=False
  AntarDasha: Sun - (2009-09-02 18:33:56.55) to (2010-07-28 11:47:08.55) (328 days) Age[(18year 9month 19days)] iid=111, open=False
	ParyantarDasha: Sun - (2009-09-02 18:33:56.55) to (2009-09-19 05:01:36.15) (16 days) Age[(17year 11month 10days)] iid=112, open=False
	ParyantarDasha: Moon - (2009-09-19 05:01:36.15) to (2009-10-16 14:27:42.15) (27 days) Age[(18year 0month 7days)] iid=113, open=False
	ParyantarDasha: Mars - (2009-10-16 14:27:42.15) to (2009-11-04 18:39:58.35) (19 days) Age[(18year 0month 27days)] iid=114, open=False
	ParyantarDasha: Rahu - (2009-11-04 18:39:58.35) to (2009-12-24 02:02:57.15) (49 days) Age[(18year 2month 15days)] iid=115, open=False
	ParyantarDasha: Jupiter - (2009-12-24 02:02:57.15) to (2010-02-05 21:56:42.75) (43 days) Age[(18year 3month 28days)] iid=116, open=False
	ParyantarDasha: Saturn - (2010-02-05 21:56:42.75) to (2010-03-29 23:04:18.15) (52 days) Age[(18year 5month 21days)] iid=117, open=False
	ParyantarDasha: Mercury - (2010-03-29 23:04:18.15) to (2010-05-15 12:42:40.35) (46 days) Age[(18year 7month 6days)] iid=118, open=False
	ParyantarDasha: Ketu - (2010-05-15 12:42:40.35) to (2010-06-03 16:54:56.55) (19 days) Age[(18year 7month 26days)] iid=119, open=False
	ParyantarDasha: Venus - (2010-06-03 16:54:56.55) to (2010-07-28 11:47:08.55) (54 days) Age[(18year 9month 19days)] iid=120, open=False
  AntarDasha: Moon - (2010-07-28 11:47:08.55) to (2012-01-27 08:29:08.55) (547 days) Age[(20year 3month 18days)] iid=121, open=False
	ParyantarDasha: Moon - (2010-07-28 11:47:08.55) to (2010-09-12 03:30:38.55) (45 days) Age[(18year 11month 3days)] iid=122, open=False
	ParyantarDasha: Mars - (2010-09-12 03:30:38.55) to (2010-10-14 02:31:05.55) (31 days) Age[(19year 0month 5days)] iid=123, open=False
	ParyantarDasha: Rahu - (2010-10-14 02:31:05.55) to (2011-01-04 06:49:23.55) (82 days) Age[(19year 2month 26days)] iid=124, open=False
	ParyantarDasha: Jupiter - (2011-01-04 06:49:23.55) to (2011-03-18 07:58:59.55) (73 days) Age[(19year 5month 9days)] iid=125, open=False
	ParyantarDasha: Saturn - (2011-03-18 07:58:59.55) to (2011-06-13 01:51:38.55) (86 days) Age[(19year 8month 4days)] iid=126, open=False
	ParyantarDasha: Mercury - (2011-06-13 01:51:38.55) to (2011-08-29 16:35:35.55) (77 days) Age[(19year 10month 21days)] iid=127, open=False
	ParyantarDasha: Ketu - (2011-08-29 16:35:35.55) to (2011-09-30 15:36:02.55) (31 days) Age[(19year 11month 22days)] iid=128, open=False
	ParyantarDasha: Venus - (2011-09-30 15:36:02.55) to (2011-12-30 23:03:02.55) (91 days) Age[(20year 2month 22days)] iid=129, open=False
	ParyantarDasha: Sun - (2011-12-30 23:03:02.55) to (2012-01-27 08:29:08.55) (27 days) Age[(20year 3month 18days)] iid=130, open=False
  AntarDasha: Mars - (2012-01-27 08:29:08.55) to (2013-02-13 20:34:32.55) (383 days) Age[(21year 4month 5days)] iid=131, open=False
	ParyantarDasha: Mars - (2012-01-27 08:29:08.55) to (2012-02-18 17:23:27.45) (22 days) Age[(20year 4month 10days)] iid=132, open=False
	ParyantarDasha: Rahu - (2012-02-18 17:23:27.45) to (2012-04-16 06:00:16.05) (57 days) Age[(20year 6month 7days)] iid=133, open=False
	ParyantarDasha: Jupiter - (2012-04-16 06:00:16.05) to (2012-06-06 09:12:59.25) (51 days) Age[(20year 7month 28days)] iid=134, open=False
	ParyantarDasha: Saturn - (2012-06-06 09:12:59.25) to (2012-08-06 02:31:50.55) (60 days) Age[(20year 9month 28days)] iid=135, open=False
	ParyantarDasha: Mercury - (2012-08-06 02:31:50.55) to (2012-09-29 10:26:36.45) (54 days) Age[(20year 11month 20days)] iid=136, open=False
